episode,step,timestamp,action,state,reward,done,epsilon
0,53,2025-07-16T17:47:21.714148,stop,"[150.0, 150.0, 150.0, 237.0000000000002, 179.95772953911535, 3950.0000000000036, 0.0, 0.9941573791503904]",-0.1,False,1.0
0,54,2025-07-16T17:47:21.723148,cam_left,"[150.0, 150.0, 150.0, 234.0000000000002, 179.95772953911535, 3900.0000000000036, 0.0, 0.9939818732738492]",-0.1,False,1.0
0,55,2025-07-16T17:47:21.731648,forward,"[150.0, 150.0, 150.0, 231.00000000000023, 179.95772953911535, 3850.0000000000036, 0.0, 0.9938086266517636]",-0.1,False,1.0
0,56,2025-07-16T17:47:21.740148,cam_center,"[150.0, 150.0, 150.0, 243.0000000000002, 179.95772953911535, 4050.0000000000036, 0.0, 0.9936263753771779]",-0.1,False,1.0
0,57,2025-07-16T17:47:21.749148,stop,"[150.0, 150.0, 150.0, 255.00000000000023, 179.95772953911535, 4250.000000000004, 0.0, 0.9934457533359524]",-0.1,False,1.0
0,58,2025-07-16T17:47:21.758148,stop,"[150.0, 150.0, 150.0, 252.00000000000023, 179.95772953911535, 4200.000000000004, 0.0, 0.9932672462463376]",-0.1,False,1.0
0,59,2025-07-16T17:47:21.767148,cam_center,"[150.0, 150.0, 150.0, 249.00000000000023, 179.95772953911535, 4150.000000000004, 0.0, 0.9930701256394383]",-0.1,False,1.0
0,60,2025-07-16T17:47:21.776148,forward,"[150.0, 150.0, 150.0, 246.00000000000026, 179.95772953911535, 4100.000000000005, 0.0, 0.9928958736062047]",-0.1,False,1.0
0,61,2025-07-16T17:47:21.784649,backward,"[150.0, 150.0, 150.0, 258.0000000000002, 179.95772953911535, 4300.000000000005, 0.0, 0.9927023876309392]",-0.1,False,1.0
0,62,2025-07-16T17:47:21.794147,stop,"[150.0, 150.0, 150.0, 246.00000000000026, 179.95772953911535, 4100.000000000005, 0.0, 0.9925178863406179]",-0.1,False,1.0
0,63,2025-07-16T17:47:21.803147,cam_right,"[150.0, 150.0, 150.0, 243.00000000000026, 179.95772953911535, 4050.000000000004, 0.0, 0.9923356205821035]",-0.1,False,1.0
0,64,2025-07-16T17:47:21.812649,cam_left,"[150.0, 150.0, 150.0, 240.00000000000026, 179.95772953911535, 4000.0000000000045, 0.0, 0.9921456343531606]",-0.1,False,1.0
0,65,2025-07-16T17:47:21.821650,cam_left,"[150.0, 150.0, 150.0, 237.00000000000028, 179.95772953911535, 3950.0000000000045, 0.0, 0.99196789252758]",-0.1,False,1.0
0,66,2025-07-16T17:47:21.831148,right,"[150.0, 150.0, 150.0, 234.00000000000028, 179.95772953911535, 3900.0000000000045, 0.0, 0.9917923820018766]",-0.1,False,1.0
0,67,2025-07-16T17:47:21.840647,cam_left,"[150.0, 150.0, 150.0, 246.00000000000028, 180.02820863392787, 4100.000000000005, 0.0, 0.9916078904867169]",-0.1,False,1.0
0,68,2025-07-16T17:47:21.849648,right,"[150.0, 150.0, 150.0, 258.0000000000003, 180.17607610797563, 4300.000000000005, 0.0, 0.9914036347866055]",-0.1,False,1.0
0,69,2025-07-16T17:47:21.857647,stop,"[150.0, 150.0, 150.0, 270.00000000000034, 180.40828077431718, 4500.0000000000055, 0.0, 0.991178597450256]",-0.1,False,1.0
0,70,2025-07-16T17:47:21.866146,stop,"[150.0, 150.0, 150.0, 267.00000000000034, 180.56130641606433, 4450.0000000000055, 0.0, 0.9909895073771474]",-0.1,False,1.0
0,71,2025-07-16T17:47:21.874646,left,"[150.0, 150.0, 150.0, 264.00000000000034, 180.6369425178143, 4400.0000000000055, 0.0, 0.9908134991526601]",-0.1,False,1.0
0,72,2025-07-16T17:47:21.884148,right,"[150.0, 150.0, 150.0, 276.00000000000034, 180.6369425178143, 4600.0000000000055, 0.0, 0.9906065141558645]",-0.1,False,1.0
0,73,2025-07-16T17:47:21.892648,cam_right,"[150.0, 150.0, 150.0, 288.00000000000034, 180.71945462881422, 4800.000000000006, 0.0, 0.9904025174975394]",-0.1,False,1.0
0,74,2025-07-16T17:47:21.902148,right,"[150.0, 150.0, 150.0, 300.0, 180.8913935521257, 5000.0, 0.0, 0.9901774980425834]",-0.1,False,1.0
0,75,2025-07-16T17:47:21.910148,left,"[150.0, 150.0, 150.0, 300.0, 181.14939873694948, 5000.0, 0.0, 0.9899524964690207]",-0.1,False,1.0
0,76,2025-07-16T17:47:21.918648,cam_left,"[150.0, 150.0, 150.0, 300.0, 181.32133766026095, 5000.0, 0.0, 0.9897274889349936]",-0.1,False,1.0
0,77,2025-07-16T17:47:21.927148,right,"[150.0, 150.0, 150.0, 300.0, 181.40728777588595, 5000.0, 0.0, 0.9895274974703787]",-0.1,False,1.0
0,78,2025-07-16T17:47:21.935648,left,"[150.0, 150.0, 150.0, 300.0, 181.5792266991973, 5000.0, 0.0, 0.989314989030361]",-0.1,False,1.0
0,79,2025-07-16T17:47:21.944651,right,"[150.0, 150.0, 150.0, 300.0, 181.6651768148223, 5000.0, 0.0, 0.9891024984717367]",-0.1,False,1.0
0,80,2025-07-16T17:47:21.953648,stop,"[150.0, 150.0, 150.0, 300.0, 181.83711573813366, 5000.0, 0.0, 0.9888899244666097]",-0.1,False,1.0
0,81,2025-07-16T17:47:21.962147,cam_right,"[150.0, 150.0, 150.0, 297.0, 181.92220635260242, 4950.0, 0.0, 0.9886672496199606]",-0.1,False,1.0
0,82,2025-07-16T17:47:21.970647,cam_left,"[150.0, 150.0, 150.0, 294.0, 181.92220635260242, 4900.000000000001, 0.0, 0.9884467539191244]",-0.1,False,1.0
